1971,6142
1972,6503
1973,7050
1974,7043
1975,6653
1976,7175
1977,7483
1978,7602
1979,7956
1980,7730
1981,7383
1982,7020	
1983,6934
1984,7174
1985,7054
1986,7304
1987,7301
1987,7307
1988,7594
1989,7598
1990,9116
1991,9207
1992,9195
1993,9186
1994,9315
1995,9433
1996,9641
1997,9859
1998,9961
1999,9710
2000,10018
2001,9969
2002,9914
2003,10270
2004,10546
2005,10616
2006,10577
2007,10443
2008,10441
2009,10205
2010,10296
2011,10397
2012,10631
2013,10717
2014,11013
2015,11379
